female,male,site,block,height,volume,rust,stemform
418,0,101,9,21.5,0.7775526047,0,3
418,0,101,2,23,0.9070372581,0,4
418,0,101,11,24,0.9040560722,0,4
418,0,101,5,21,0.6601686478,0,4
418,0,101,18,27,1.3575868607,0,3
418,0,101,1,20.5,0.4715602398,0,4
418,0,101,10,24.5,1.3834857941,0,4
418,0,101,12,26.5,1.2816162109,0,3
418,0,101,16,21.5,0.7083969116,0,4
419,0,101,9,24,1.0297365189,0,2
419,0,101,4,27,1.6943817139,0,1
419,0,101,3,24.5,1.0067596436,0,3
419,0,101,18,23,0.9882354736,0,4
419,0,101,16,24.5,0.5257606506,0,2
419,0,101,2,27,1.1542396545,0,2
419,0,101,1,24.5,1.1408243179,0,3
419,0,101,6,20.5,0.6452527046,0,2
419,0,101,7,22,0.7590374947,0,3
419,0,101,12,24,1.2104892731,0,6
419,0,101,13,21,0.538254261,0,3
419,0,101,5,21.5,0.7083969116,0,4
419,0,101,17,23,0.7554683685,0,3
419,0,101,15,22.5,0.9273271561,0,4
419,0,101,19,24,1.4576129913,0,4
419,0,101,10,22.5,0.9273271561,0,2
419,0,101,8,28,1.8810968399,0,4
419,0,101,11,28.5,2.1823921204,0,2
419,0,101,20,20.5,0.9218745232,0,3
419,0,101,14,24,1.1638889313,0,4
421,0,101,15,25.5,1.1860122681,0,1
421,0,101,2,28.5,1.7245950699,0,3
421,0,101,6,24.5,1.3330316544,0,4
421,0,101,3,27,1.3575868607,0,4
421,0,101,4,27.5,2.1744194031,0,5
421,0,101,19,25,1.5169429779,0,2
421,0,101,8,24,0.9040560722,0,3
421,0,101,11,28.5,1.4875917435,0,3
421,0,101,16,26,1.0663337708,0,3
421,0,101,5,22.5,0.6056246758,0,4
421,0,101,17,26.5,1.333070755,0,4
421,0,101,12,29,1.57168293,0,4
421,0,101,7,26,1.3085546494,0,1
421,0,101,10,27,1.6943817139,0,3
421,0,101,1,21,0.8310956955,0,6
421,0,101,18,27,1.4110717773,0,4
421,0,101,9,26,1.6904983521,0,3
421,0,101,14,23.5,1.2799978256,0,4
421,0,101,20,26.5,2.1625823975,0,2
421,0,101,13,27,1.2537946701,0,4
