site,block,female,male,height,rust,volume
1,2,C10069,0,14.5,0,25.67
1,2,C10070,0,14.6,0,21.27
1,2,C10071,0,14.9,0,24.67
1,2,C10072,0,16.3,1,28.43
1,2,C10073,0,16,0,26.25
1,2,C10074,0,14.9,0,26.28
1,3,C1001,0,18.6,0,43.1
1,3,C1002,0,16.5,0,25.25
1,3,C1003,0,16,0,22.98
1,3,C1004,0,15.2,0,25.1
1,3,C1005,0,12.2,0,9.5
1,3,C1007,0,15.5,1,25.53
1,3,C1008,0,16.4,1,26.82
1,3,C1009,0,14.2,0,25.21
1,3,C10010,0,14.5,0,17.14
1,3,C10011,0,18.6,0,34.05
1,3,C10012,0,14.9,0,24.67
1,3,C10013,0,15.4,0,23.79
1,3,C10014,0,15.4,0,25.39
1,3,C10015,0,15,1,20.32
1,3,C10016,0,14.8,0,33.09
1,3,C10017,0,15.2,0,25.1
1,3,C10018,0,15.5,0,25.53
1,3,C10020,0,15.2,0,22
1,3,C10021,0,13.4,0,22.53
1,3,C10022,0,13.3,0,23.82
1,3,C10023,0,14,1,20.53
1,3,C10024,0,17,0,35.41
1,3,C10025,0,16,1,33.53
1,3,C10026,0,15.4,0,20.77
1,3,C10027,0,15.4,0,30.55
1,3,C10028,0,13.5,0,16.19
1,3,C10029,0,16.8,0,27.39
1,3,C10030,0,14.1,0,18
1,3,C10031,0,16,0,26.25
1,3,C10032,0,14,1,17.9
1,3,C10033,0,14,0,15.48
1,3,C10034,0,15.5,0,25.53
1,3,C10035,0,12.7,0,15.43
1,3,C10036,0,18,0,35.14
1,3,C10037,0,17,1,37.51
1,3,C10038,0,16.9,0,35.22
1,3,C10039,0,15,0,20.32
1,3,C10040,0,16,1,39.65
1,3,C10041,0,15,1,18.93
1,3,C10044,0,13.2,0,14.79
1,3,C10045,0,15.3,0,38.06
1,3,C10046,0,16,0,27.97
1,3,C10047,0,16.5,0,28.74
1,3,C10048,0,15,0,26.44
1,3,C10756,0,14,0,26.46
1,3,C17100,0,15,1,26.44
1,3,C10049,0,14,0,15.48
1,3,C10050,0,15.4,0,30.55
1,3,C10051,0,16.5,0,36.51
1,3,C10052,0,14.6,0,22.73
1,3,C10053,0,13,1,15.71
1,3,C10054,0,12.3,0,16.13
1,3,C10055,0,12.5,0,16.34
1,3,C10056,0,15,0,21.76
1,3,C10057,0,13.2,0,14.79
1,3,C10058,0,13.4,1,18.51
1,3,C10059,0,17.3,1,38.12
1,3,C10060,0,17.1,0,31.58
1,3,c10061,0,15.5,0,23.92
1,3,C10062,0,13.5,1,18.62
1,3,C10063,0,15.9,0,33.34
1,3,C10064,0,15.7,0,32.96
1,3,C10065,0,13.4,0,17.27
1,3,C10066,0,16.5,0,22.01
