TREE,FEMALE,MALE
2D26,612,590
2E21,612,634
2E22,612,634
2E23,612,634
2E24,612,634
2E25,612,634
2E26,612,634
2F21,612,652
2F23,612,652
2F24,612,652
2F25,612,652
2F26,612,652
2G23,626,634
2G25,626,634
2G26,626,634
2H21,649,590
2H22,649,590
2H23,649,590
2H25,649,590
2H26,649,590
2I23,649,612
2I24,649,612
2I26,649,612
2J23,649,626
2J24,649,626
2J25,649,626
2K21,649,634
2K22,649,634
2K23,649,634
2K24,649,634
2K25,649,634
2K26,649,634
2L21,649,652
2L23,649,652
2L24,649,652
2L26,649,652
2M21,652,626
2M22,652,626
2M23,652,626
2M24,652,626
2M25,652,626
2M26,652,626
2N21,652,634
2N22,652,634
2N23,652,634
2N24,652,634
2N25,652,634
2A31,590,626
2A32,590,626
2A34,590,626
2A35,590,626
2B31,590,634
2B33,590,634
2B34,590,634
2C31,590,652
2C32,590,652
2C34,590,652
2C35,590,652
2C36,590,652
2D31,612,590
2D32,612,590
2D33,612,590
2D35,612,590
2D36,612,590
2E31,612,634
2E33,612,634
2E34,612,634
2E36,612,634
2F31,612,652
2F32,612,652
2F33,612,652
2F34,612,652
2F35,612,652
2F36,612,652
2G35,626,634
2G36,626,634
2H31,649,590
2H32,649,590
2H34,649,590
2H35,649,590
2H36,649,590
2I31,649,612
2I32,649,612
2I33,649,612
2I34,649,612
2I35,649,612
2I36,649,612
2J31,649,626
2J32,649,626
2J33,649,626
2J34,649,626
2J35,649,626
2K31,649,634
2K32,649,634
2K34,649,634
2K35,649,634
2K36,649,634
2L32,649,652
2L34,649,652
2L36,649,652
2M31,652,626
2M32,652,626
2M34,652,626
2N31,652,634
2N32,652,634
2N33,652,634
2N35,652,634
2N36,652,634
2A41,590,626
2A42,590,626
2A45,590,626
2B41,590,634
2B42,590,634
2B44,590,634
2B45,590,634
2B46,590,634
2C41,590,652
2C42,590,652
2C43,590,652
2C44,590,652
2C45,590,652
2C46,590,652
2D41,612,590
2D42,612,590
2D43,612,590
2D44,612,590
2D45,612,590
2D46,612,590
2E41,612,634
2E43,612,634
2E45,612,634
2E46,612,634
2F41,612,652
2F42,612,652
2F43,612,652
2F44,612,652
2F45,612,652
2G41,626,634
2G44,626,634
2G46,626,634
2H42,649,590
2H46,649,590
2I41,649,612
2I43,649,612
2I44,649,612
2I45,649,612
2I46,649,612
2J41,649,626
2J43,649,626
2J44,649,626
2J45,649,626
2J46,649,626
2K41,649,634
2K42,649,634
2K43,649,634
2K44,649,634
2K45,649,634
2K46,649,634
2L41,649,652
2L42,649,652
2L44,649,652
2L45,649,652
2M41,652,626
2M42,652,626
2M44,652,626
2M45,652,626
2N41,652,634
2N42,652,634
2N43,652,634
2A52,590,626
2A54,590,626
2A55,590,626
2B51,590,634
2B55,590,634
2C53,590,652
2D51,612,590
2D52,612,590
2D53,612,590
2D56,612,590
2E52,612,634
2E54,612,634
2E55,612,634
2E56,612,634
2F51,612,652
2F52,612,652
2F53,612,652
2F55,612,652
2G51,626,634
2G52,626,634
2G53,626,634
2G54,626,634
2G55,626,634
2H53,649,590
2I56,649,612
2J54,649,626
2J55,649,626
2J56,649,626
2K51,649,634
2K53,649,634
2K55,649,634
2K56,649,634
2M54,652,626
2M55,652,626
2N51,652,634
2N52,652,634
2N53,652,634
2N54,652,634
2A61,590,626
2A62,590,626
2A65,590,626
2A66,590,626
2B61,590,634
2B63,590,634
2C62,590,652
2C63,590,652
2C64,590,652
2C65,590,652
2D61,612,590
2D63,612,590
2D65,612,590
2D66,612,590
2E62,612,634
2E63,612,634
2E65,612,634
2F62,612,652
2F63,612,652
2F65,612,652
2F66,612,652
2G63,626,634
2G64,626,634
2G66,626,634
2H61,649,590
2H64,649,590
2H65,649,590
2H66,649,590
2I61,649,612
2I62,649,612
2I63,649,612
2I65,649,612
2I66,649,612
2J62,649,626
2J66,649,626
2K63,649,634
2K64,649,634
2K65,649,634
2L61,649,652
2L62,649,652
2L63,649,652
2L64,649,652
2L65,649,652
2L66,649,652
2M61,652,626
2M62,652,626
2M64,652,626
2M66,652,626
2N61,652,634
3A11,590,626
3A12,590,626
3A14,590,626
3A15,590,626
3A16,590,626
3B11,590,634
3B12,590,634
3B13,590,634
3B14,590,634
3B15,590,634
3B16,590,634
3C11,590,652
3C12,590,652
3C13,590,652
3C14,590,652
3C15,590,652
3C16,590,652
3D11,612,590
3D12,612,590
3D13,612,590
3D14,612,590
3D16,612,590
3E11,612,634
3E12,612,634
3E13,612,634
3E14,612,634
3E16,612,634
3G11,626,634
3G12,626,634
3G13,626,634
3G14,626,634
3G15,626,634
3G16,626,634
3H11,649,590
3H13,649,590
3H16,649,590
3I12,649,612
3I13,649,612
3I14,649,612
3I15,649,612
3J12,649,626
3J14,649,626
3J15,649,626
3K11,649,634
3K12,649,634
3K13,649,634
3K14,649,634
3K15,649,634
3L11,649,652
3L12,649,652
3L13,649,652
3L14,649,652
3L15,649,652
3L16,649,652
3M11,652,626
3M12,652,626
3M13,652,626
3M14,652,626
3M15,652,626
3M16,652,626
3N11,652,634
3N13,652,634
3N14,652,634
3N16,652,634
3A21,590,626
3A22,590,626
3A23,590,626
3A24,590,626
3A25,590,626
3A26,590,626
3B22,590,634
3B24,590,634
3B25,590,634
3B26,590,634
3C21,590,652
3C22,590,652
3C23,590,652
3C24,590,652
3C25,590,652
3C26,590,652
3D21,612,590
3D22,612,590
3D23,612,590
3D24,612,590
3D25,612,590
3D26,612,590
3E21,612,634
3E22,612,634
3E23,612,634
3E24,612,634
3E25,612,634
3E26,612,634
3F21,612,652
3F23,612,652
3G21,626,634
3G22,626,634
3G23,626,634
3G24,626,634
3G25,626,634
3G26,626,634
3H21,649,590
3H22,649,590
3H24,649,590
3H25,649,590
3H26,649,590
3I21,649,612
3I22,649,612
3I23,649,612
3I25,649,612
3J21,649,626
3J22,649,626
3J23,649,626
3J25,649,626
3J26,649,626
3K21,649,634
3K22,649,634
3K23,649,634
3K24,649,634
3K25,649,634
3K26,649,634
3L21,649,652
3L23,649,652
3L24,649,652
3L25,649,652
3L26,649,652
3M21,652,626
3M22,652,626
3M23,652,626
3M26,652,626
3N21,652,634
3N22,652,634
3N23,652,634
3N24,652,634
3N25,652,634
3N26,652,634
3A31,590,626
3A32,590,626
3A33,590,626
3A34,590,626
3B31,590,634
3B32,590,634
3B33,590,634
3B34,590,634
3B35,590,634
3C31,590,652
3C32,590,652
3C33,590,652
3C34,590,652
3C35,590,652
3C36,590,652
3D31,612,590
3D32,612,590
3D33,612,590
3D34,612,590
3D35,612,590
3D36,612,590
3E31,612,634
3E32,612,634
3E33,612,634
3E34,612,634
3E35,612,634
3E36,612,634
3G31,626,634
3G32,626,634
3G33,626,634
3G34,626,634
3G35,626,634
3G36,626,634
3H32,649,590
3H33,649,590
3H34,649,590
3H36,649,590
3I31,649,612
3I33,649,612
3I35,649,612
3I36,649,612
3J31,649,626
3J34,649,626
3J35,649,626
3K31,649,634
3K32,649,634
3K33,649,634
3K34,649,634
3K35,649,634
3L33,649,652
3L35,649,652
3L36,649,652
3M31,652,626
3M32,652,626
3M33,652,626
3M35,652,626
3M36,652,626
3N31,652,634
3N34,652,634
3N35,652,634
3A41,590,626
3A42,590,626
3A43,590,626
3A44,590,626
3A45,590,626
3A46,590,626
3B42,590,634
3B43,590,634
3B45,590,634
3B46,590,634
3C41,590,652
3C42,590,652
3C43,590,652
3C45,590,652
3C46,590,652
3D41,612,590
3D42,612,590
3D43,612,590
3D44,612,590
3D46,612,590
3E42,612,634
3E43,612,634
3E45,612,634
3E46,612,634
3F45,612,652
3G41,626,634
3G43,626,634
3G44,626,634
3G45,626,634
3H41,649,590
3H42,649,590
3H43,649,590
3H45,649,590
3H46,649,590
3I41,649,612
3I42,649,612
3I44,649,612
3I45,649,612
3I46,649,612
3J42,649,626
3J45,649,626
3J46,649,626
3K41,649,634
