pig	sire	dam
2138	434	499
2139	434	499
2140	430	500
2141	430	500
2142	430	500
2143	430	500
2144	430	500
2145	488	501
2146	488	501
2147	488	501
2148	488	501
2149	470	502
2150	470	502
2151	470	502
2152	470	502
2153	457	503
2154	457	503
2155	457	503
2156	457	503
2157	452	504
2158	450	505
2159	450	505
2160	450	505
2161	450	505
2162	422	506
2163	422	506
2164	440	507
2165	440	507
2166	440	507
2167	440	507
2168	440	507
2169	428	508
2170	428	508
2171	454	509
2172	454	509
2173	454	509
2174	454	509
2175	454	509
2176	424	510
2177	424	510
2178	424	510
2179	470	513
2180	470	513
2181	470	513
2182	461	514
2183	461	514
2184	461	514
2185	432	515
2186	444	516
2187	444	516
2188	452	517
2189	452	517
2190	452	517
2191	448	518
2192	448	518
2193	448	518
2194	448	518
2195	457	519
2196	457	519
2197	457	519
2198	420	520
2199	438	521
2200	438	521
2201	440	522
2202	440	522
2203	440	522
2204	440	522
2205	434	523
2206	434	523
2207	434	523
2208	434	523
2209	428	524
2210	428	524
2211	444	525
2212	444	525
2213	444	525
2214	446	526
2215	446	526
2216	438	527
2217	438	527
2218	422	528
2219	422	528
2220	422	528
2221	422	528
2222	432	529
2223	432	529
2224	432	529
2225	428	530
2226	428	530
2227	428	530
2228	428	530
2229	448	531
2230	448	531
2231	426	532
2232	426	532
2233	436	533
2234	436	533
2235	436	533
2236	436	533
2237	450	534
2238	450	534
2239	450	534
2240	450	534
2241	450	534
2242	452	535
2243	430	536
2244	430	536
2245	430	536
2246	442	537
2247	442	537
2248	442	537
2249	442	537
2250	442	537
2251	478	539
2252	478	539
2253	478	539
2254	541	540
2255	541	540
2256	541	540
2257	541	540
2258	543	542
2259	543	542
2260	543	542
2261	543	542
2262	543	542
2263	543	542
2264	545	544
2265	545	544
2266	545	544
2267	545	544
2268	545	544
2269	545	544
2270	545	544
2271	547	546
2272	547	546
2273	547	546
2274	547	546
2275	547	546
2276	549	548
2277	549	548
2278	549	548
2279	549	548
2280	549	548
2281	549	548
2282	549	548
2283	551	550
2284	551	550
2285	551	550
2286	551	550
2287	551	550
2288	551	550
2289	551	550
2290	553	552
2291	553	552
2292	553	552
2293	553	552
2294	553	552
2295	553	552
2296	555	554
2297	555	554
2298	555	554
2299	555	554
2300	555	554
2301	555	554
2302	557	556
2303	557	556
2304	557	556
2305	557	556
2306	557	556
2307	557	556
2308	559	558
2309	559	558
2310	559	558
2311	559	558
2312	551	560
2313	551	560
2314	551	560
2315	551	560
2316	551	560
2317	551	560
2318	562	561
2319	562	561
2320	562	561
2321	562	561
2322	549	563
2323	549	563
2324	549	563
2325	549	563
2326	565	564
2327	565	564
2328	565	564
2329	565	564
2330	565	564
2331	565	564
2332	565	564
2333	565	564
2334	567	566
2335	567	566
2336	567	566
2337	569	568
2338	569	568
2339	569	568
2340	569	568
2341	569	568
2342	571	570
2343	571	570
2344	571	570
2345	573	572
2346	573	572
2347	573	572
2348	573	572
2349	573	572
2350	573	572
2351	547	574
2352	547	574
2353	547	574
2354	547	574
2355	547	574
2356	576	575
2357	576	575
2358	576	575
2359	576	575
2360	576	575
2361	576	575
2362	569	577
2363	569	577
2364	569	577
2365	569	577
2366	569	577
2367	569	577
2368	565	578
2369	565	578
2370	565	578
2371	565	578
2372	580	579
2373	580	579
2374	580	579
2375	580	579
2376	580	579
2377	580	579
2378	580	579
2379	580	579
2380	582	581
2381	582	581
2382	582	581
2383	582	581
2384	582	581
2385	582	581
2386	576	583
2387	576	583
2388	576	583
2389	576	583
2390	585	584
2391	585	584
2392	585	584
2393	585	584
2394	545	586
2395	545	586
2396	545	586
2397	545	586
2398	551	587
2399	551	587
2400	551	587
2401	551	587
2402	551	587
2403	543	588
2404	543	588
2405	543	588
2406	543	588
2407	543	588
2408	543	588
2409	549	589
2410	549	589
2411	549	589
2412	549	589
2413	573	590
2414	573	590
2415	573	590
2416	573	590
2417	592	591
2418	592	591
2419	592	591
2420	592	591
2421	592	591
2422	592	591
2423	557	593
2424	557	593
2425	557	593
2426	557	593
2427	595	594
2428	595	594
2429	595	594
2430	595	594
2431	595	594
2432	595	594
2433	545	596
2434	545	596
2435	545	596
2436	545	596
2437	545	596
2438	545	596
2439	553	597
2440	553	597
2441	553	597
2442	553	597
2443	553	597
2444	571	598
2445	571	598
2446	571	598
2447	571	598
2448	571	598
2449	571	598
2450	553	599
2451	553	599
2452	543	600
2453	543	600
2454	543	600
2455	543	600
2456	595	601
2457	595	601
2458	595	601
2459	595	601
2460	595	601
2461	595	601
2462	585	602
2463	585	602
2464	585	602
2465	585	602
2466	576	603
2467	576	603
2468	576	603
2469	576	603
2470	573	604
2471	573	604
2472	573	604
2473	573	604
2474	573	604
2475	559	605
2476	559	605
2477	559	605
2478	559	605
2479	559	605
2480	559	605
2481	571	606
2482	571	606
2483	571	606
2484	555	607
2485	555	607
2486	555	607
2487	555	607
2488	555	607
2489	555	607
2490	555	607
2491	562	608
2492	562	608
2493	562	608
2494	562	608
2495	562	608
2496	545	609
2497	545	609
2498	545	609
2499	545	609
2500	543	610
2501	543	610
2502	543	610
2503	543	610
2504	565	611
2505	565	611
2506	565	611
2507	565	611
2508	565	611
2509	557	612
2510	557	612
2511	557	612
2512	557	612
2513	557	612
2514	557	612
2515	541	613
2516	541	613
2517	541	613
2518	541	613
2519	541	613
2520	541	613
2521	541	613
2522	562	614
2523	562	614
2524	562	614
2525	562	614
2526	562	614
2527	562	614
2528	562	614
2529	562	614
2530	562	614
2531	562	614
2532	582	615
2533	582	615
2534	582	615
2535	582	615
2536	582	615
2537	582	615
2538	582	616
2539	582	616
2540	582	616
2541	582	616
2542	582	616
2543	582	616
2544	592	617
2545	592	617
2546	592	617
2547	592	617
2548	592	617
2549	576	618
2550	576	618
2551	576	618
2552	576	618
2553	576	618
2554	559	619
2555	559	619
2556	559	619
2557	559	619
2558	573	620
2559	573	620
2560	573	620
2561	592	621
2562	592	621
2563	592	621
2564	592	621
2565	576	622
2566	576	622
2567	576	622
2568	576	622
2569	576	622
2570	571	623
2571	571	623
2572	571	623
2573	571	623
2574	592	624
2575	592	624
2576	592	624
2577	592	625
2578	592	625
2579	592	625
2580	592	625
2581	592	625
2582	592	625
2583	571	626
2584	628	627
2585	628	627
2586	628	627
2587	628	627
2588	628	627
2589	628	627
2590	628	627
2591	628	627
2592	543	629
2593	543	629
2594	543	629
2595	543	629
2596	543	629
2597	595	630
2598	595	630
2599	595	630
2600	595	630
2601	569	631
2602	569	631
2603	569	631
2604	569	631
2605	569	631
2606	569	631
2607	569	631
2608	569	631
2609	555	632
2610	555	632
2611	555	632
2612	555	632
2613	571	633
2614	571	633
2615	571	633
2616	571	633
2617	571	633
2618	571	633
2619	571	633
2620	585	634
2621	585	634
2622	585	634
2623	585	634
2624	585	634
2625	585	634
2626	553	635
2627	553	635
2628	553	635
2629	553	635
2630	553	635
2631	553	635
2632	582	636
2633	582	636
2634	582	636
2635	582	636
2636	565	637
2637	565	637
2638	565	637
2639	565	637
2640	545	638
2641	545	638
2642	545	638
2643	545	638
2644	545	638
2645	569	639
2646	569	639
2647	569	639
2648	569	639
2649	569	639
2650	641	640
2651	641	640
2652	641	640
2653	641	640
2654	641	640
2655	641	640
2656	573	642
2657	573	642
2658	573	642
2659	557	643
2660	557	643
2661	557	643
2662	557	643
2663	645	644
2664	645	644
2665	645	644
2666	645	644
2667	645	644
2668	645	644
2669	645	644
2670	645	644
2671	641	646
2672	641	646
2673	641	646
2674	641	646
2675	641	646
2676	641	646
2677	641	646
2678	645	647
2679	645	647
2680	645	647
2681	645	647
2682	645	647
2683	645	647
2684	649	648
2685	649	648
2686	649	648
2687	649	648
2688	649	648
2689	649	648
2690	649	648
2691	543	650
2692	543	650
2693	645	651
2694	645	651
2695	645	651
2696	645	651
2697	645	651
2698	645	651
2699	547	652
2700	547	652
2701	547	652
2702	547	652
2703	641	653
2704	641	653
2705	641	653
2706	641	653
2707	641	653
