treeid	 female	 prov
205.23	 205	 11
206.1	 206	 11
206.2	 206	 11
206.3	 206	 11
206.4	 206	 11
206.5	 206	 11
206.6	 206	 11
206.7	 206	 11
206.8	 206	 11
206.9	 206	 11
206.10	 206	 11
206.11	 206	 11
206.12	 206	 11
206.13	 206	 11
206.14	 206	 11
206.15	 206	 11
206.16	 206	 11
206.17	 206	 11
206.18	 206	 11
206.19	 206	 11
206.20	 206	 11
206.21	 206	 11
206.22	 206	 11
206.23	 206	 11
206.24	 206	 11
207.1	 207	 11
207.2	 207	 11
207.3	 207	 11
207.4	 207	 11
207.5	 207	 11
207.6	 207	 11
207.7	 207	 11
207.8	 207	 11
207.9	 207	 11
207.10	 207	 11
207.11	 207	 11
207.12	 207	 11
207.13	 207	 11
207.14	 207	 11
207.15	 207	 11
207.16	 207	 11
207.17	 207	 11
207.18	 207	 11
207.19	 207	 11
207.20	 207	 11
207.21	 207	 11
207.22	 207	 11
207.23	 207	 11
207.24	 207	 11
207.25	 207	 11
210.1	 210	 12
210.2	 210	 12
210.3	 210	 12
210.4	 210	 12
210.5	 210	 12
210.6	 210	 12
210.7	 210	 12
210.8	 210	 12
210.9	 210	 12
210.10	 210	 12
210.11	 210	 12
210.12	 210	 12
210.13	 210	 12
210.14	 210	 12
210.15	 210	 12
210.16	 210	 12
210.17	 210	 12
210.18	 210	 12
210.19	 210	 12
210.20	 210	 12
210.21	 210	 12
210.22	 210	 12
210.23	 210	 12
210.24	 210	 12
210.25	 210	 12
210.26	 210	 12
211.1	 211	 12
211.2	 211	 12
211.3	 211	 12
211.4	 211	 12
211.5	 211	 12
211.6	 211	 12
211.7	 211	 12
211.8	 211	 12
211.9	 211	 12
211.10	 211	 12
211.11	 211	 12
211.12	 211	 12
211.13	 211	 12
211.14	 211	 12
211.15	 211	 12
211.16	 211	 12
211.17	 211	 12
211.18	 211	 12
211.19	 211	 12
211.20	 211	 12
211.21	 211	 12
211.22	 211	 12
211.23	 211	 12
211.24	 211	 12
211.25	 211	 12
212.1	 212	 12
212.2	 212	 12
212.3	 212	 12
212.4	 212	 12
212.5	 212	 12
212.6	 212	 12
212.7	 212	 12
212.8	 212	 12
212.9	 212	 12
212.10	 212	 12
212.11	 212	 12
212.12	 212	 12
212.13	 212	 12
212.14	 212	 12
212.15	 212	 12
212.16	 212	 12
212.17	 212	 12
212.18	 212	 12
212.19	 212	 12
212.20	 212	 12
212.21	 212	 12
212.22	 212	 12
212.23	 212	 12
212.24	 212	 12
212.25	 212	 12
212.26	 212	 12
212.27	 212	 12
213.1	 213	 12
213.2	 213	 12
213.3	 213	 12
213.4	 213	 12
213.5	 213	 12
213.6	 213	 12
213.7	 213	 12
213.8	 213	 12
213.9	 213	 12
213.10	 213	 12
213.11	 213	 12
213.12	 213	 12
213.13	 213	 12
213.14	 213	 12
213.15	 213	 12
213.16	 213	 12
213.17	 213	 12
213.18	 213	 12
213.19	 213	 12
213.20	 213	 12
213.21	 213	 12
213.22	 213	 12
213.23	 213	 12
213.24	 213	 12
213.25	 213	 12
213.26	 213	 12
216.1	 216	 12
216.2	 216	 12
216.3	 216	 12
216.4	 216	 12
216.5	 216	 12
216.6	 216	 12
216.7	 216	 12
216.8	 216	 12
216.9	 216	 12
216.10	 216	 12
