Year,Progeny,female,male,cross,r,DTA,PltHt
2013,2608,164_14,164_1,164_1x164_14,-1,75,240
2013,2609,169_6,164_1,164_1x169_6,-1,75,255
2013,2610,170_4,171_13,170_4x171_13,1,75,220
2013,2611,170_2,170_11,170_11x170_2,-1,88,205
2013,2612,167_5,169_6,167_5x169_6,1,75,235
2013,2614,164_11,167_1,164_11x167_1,1,80,240
2013,2617,164_11,165_10,164_11x165_10,1,76,245
2013,2619,164_8,167_8,164_8x167_8,1,75,245
2013,2621,167_5,169_6,167_5x169_6,1,75,265
2013,2623,171_8,168_2,168_2x171_8,-1,NA,NA
2013,2624,170_1,171_11,170_1x171_11,1,75,245
2013,2625,171_11,170_1,170_1x171_11,-1,74,255
2013,2626,164_14,166_9,164_14x166_9,1,74,245
2013,2627,169_6,164_1,164_1x169_6,-1,80,290
2013,2628,170_4,170_7,170_4x170_7,1,79,235
2013,2629,164_14,164_1,164_1x164_14,-1,81,250
2013,2632,164_14,169_6,164_14x169_6,1,78,270
2013,2633,164_14,164_1,164_1x164_14,-1,NA,NA
2013,2634,170_4,171_13,170_4x171_13,1,74,245
2013,2635,164_14,169_6,164_14x169_6,1,75,275
2013,2636,165_4,166_11,165_4x166_11,1,77,245
2013,2637,166_3,166_12,166_12x166_3,-1,72,230
2013,2638,171_8,167_12,167_12x171_8,-1,74,245
2013,2640,167_5,164_1,164_1x167_5,-1,75,240
2013,2641,170_1,167_6,167_6x170_1,-1,75,250
2013,2642,164_8,171_10,164_8x171_10,1,72,240
2013,2644,164_11,165_10,164_11x165_10,1,78,260
2013,2645,171_4,171_7,171_4x171_7,1,75,250
2013,2646,164_4,165_4,164_4x165_4,1,80,NA
2013,2648,167_8,171_10,167_8x171_10,1,73,260
2013,2649,170_6,171_9,170_6x171_9,1,80,265
2013,2653,169_6,164_1,164_1x169_6,-1,78,235
2013,2656,166_9,164_1,164_1x166_9,-1,74,240
2013,2657,170_11,170_2,170_11x170_2,1,76,270
2013,2660,171_5,170_4,170_4x171_5,-1,72,235
2013,2661,168_8,166_10,166_10x168_8,-1,75,250
2013,2663,164_11,167_1,164_11x167_1,1,80,235
2013,2664,171_10,164_8,164_8x171_10,-1,78,140
2013,2669,166_9,164_1,164_1x166_9,-1,71,230
2013,2670,164_4,166_11,164_4x166_11,1,75,240
2013,2671,165_4,166_11,165_4x166_11,1,73,235
