treeid,female,male,prov,block,plot,height,diameter,volume
197.21,197,0,11,2,76,12.7,15.4,0.0904
197.22,197,0,11,5,231,10,17.8,0.0951
197.23,197,0,11,3,126,8,10.4,0.026
197.24,197,0,11,1,24,11.7,18.1,0.115
197.25,197,0,11,2,76,5.4,7.7,0.0096
198.1,198,0,11,1,26,11.7,21.5,0.1622
198.2,198,0,11,1,26,10.7,15.7,0.0791
198.3,198,0,11,1,26,11.5,17.2,0.1021
198.4,198,0,11,1,26,11.9,21.3,0.162
198.5,198,0,11,2,71,11.1,16.9,0.0951
198.6,198,0,11,2,71,9.5,13.4,0.0512
198.7,198,0,11,2,71,5.8,6.8,0.008
198.8,198,0,11,2,71,8.8,13.5,0.0481
198.9,198,0,11,2,71,8,13.6,0.0444
198.10,198,0,11,2,71,10.3,15.2,0.0714
198.11,198,0,11,3,122,8.6,17.1,0.0754
198.12,198,0,11,3,122,7.6,12.7,0.0368
198.13,198,0,11,3,122,8.1,11.1,0.0299
198.14,198,0,11,3,122,8.7,13.8,0.0497
198.15,198,0,11,3,122,6.4,7.7,0.0114
198.16,198,0,11,4,150,9.3,17.3,0.0835
198.17,198,0,11,4,150,10.2,18.5,0.1047
198.18,198,0,11,4,150,8.7,18.5,0.0893
198.19,198,0,11,4,150,8.1,16.3,0.0646
198.20,198,0,11,5,238,7.9,14,0.0465
198.21,198,0,11,5,238,8.8,15.6,0.0642
198.22,198,0,11,5,238,8.6,11,0.0312
198.23,198,0,11,5,238,9.6,13.6,0.0533
198.24,198,0,11,1,26,11.9,19.9,0.1414
198.25,198,0,11,1,26,6,7.1,0.0091
200.1,200,0,11,1,20,10.9,21.6,0.1526
200.2,200,0,11,1,20,10.8,16.9,0.0925
200.3,200,0,11,1,20,12,18.5,0.1232
200.4,200,0,11,1,20,11.2,18.4,0.1138
200.5,200,0,11,1,20,11.4,20.3,0.1409
200.6,200,0,11,2,74,10.4,20.8,0.135
200.7,200,0,11,2,74,10.6,19.4,0.1197
200.8,200,0,11,2,74,8.9,12.8,0.0437
200.9,200,0,11,2,74,8.5,13,0.0431
200.10,200,0,11,2,74,12.1,17.9,0.1163
200.11,200,0,11,3,125,12.1,17.8,0.115
200.12,200,0,11,3,125,11,15.6,0.0803
200.13,200,0,11,3,125,11.1,14.2,0.0671
200.14,200,0,11,3,125,10.7,19.4,0.1208
200.15,200,0,11,3,125,9.7,16.6,0.0802
200.16,200,0,11,3,125,11.1,18.3,0.1115
