tree,female,male,cross,site,rep,col,row,HT05,VOL05
63,6,7,L,1,8,13,46,94.3,72.2
103,16,21,N,1,8,13,47,68.3,41
105,16,21,N,1,8,13,48,77.7,51.3
79,16,21,N,1,1,14,1,99.4,102.2
123,16,21,N,1,1,14,2,109.4,136.4
62,6,7,L,1,1,14,3,107,82.2
91,16,21,N,1,1,14,4,116.9,132
filler,0,0,,1,1,14,5,,
43,23,13,K,1,1,14,6,115,170.6
159,17,15,R,1,2,14,7,101.3,145.7
120,16,21,N,1,2,14,8,106.1,108.7
94,16,21,N,1,2,14,9,,
93,16,21,N,1,2,14,10,107.5,110.1
145,24,1,Q,1,2,14,11,118.3,133.5
filler,0,0,,1,2,14,12,,
100,16,21,N,1,3,14,13,126.8,149.6
filler,0,0,,1,3,14,14,,
95,16,21,N,1,3,14,15,114.1,116.6
130,0,0,NP,1,3,14,16,87.6,62.6
filler,0,0,,1,3,14,17,,
filler,0,0,,1,3,14,18,,
filler,0,0,,1,4,14,19,,
127,0,0,NP,1,4,14,20,112.7,92.1
filler,0,0,,1,4,14,21,,
89,16,21,N,1,4,14,22,122.6,173.3
122,16,21,N,1,4,14,23,101.8,78.1
filler,0,0,,1,4,14,24,,
65,6,7,L,1,5,14,25,127.8,211.8
119,16,21,N,1,5,14,26,125.4,208.2
filler,0,0,,1,5,14,27,,
85,16,21,N,1,5,14,28,119.3,134.6
filler,0,0,,1,5,14,29,,
106,16,21,N,1,5,14,30,111.7,152.4
117,16,21,N,1,6,14,31,79.6,73.6
159,17,15,R,1,6,14,32,108.4,168.6
filler,0,0,,1,6,14,33,,
filler,0,0,,1,6,14,34,,
38,23,13,K,1,6,14,35,100.9,138.8
161,17,15,R,1,6,14,36,94.3,81.8
162,17,15,R,1,7,14,37,63.1,22.2
51,6,7,L,1,7,14,38,96.1,88.5
130,0,0,NP,1,7,14,39,95.2,103.3
filler,0,0,,1,7,14,40,,
108,16,21,N,1,7,14,41,72.1,-1.9
89,16,21,N,1,7,14,42,111.2,91
89,16,21,N,1,8,14,43,82.5,46.7
111,16,21,N,1,8,14,44,89.5,92.4
134,0,0,NP,1,8,14,45,93.3,101.4
37,0,0,JP,1,8,14,46,87.2,75.7
62,6,7,L,1,8,14,47,92.8,85.5
filler,0,0,,1,8,14,48,,
70,6,7,L,1,1,15,1,86.7,89.6
73,6,7,L,1,1,15,2,89.5,51.3
140,15,6,O,1,1,15,3,94.7,63.4
36,0,0,JP,1,1,15,4,96.1,51.3
52,6,7,L,1,1,15,5,112.2,139.7
filler,0,0,,1,1,15,6,,
162,17,15,R,1,2,15,7,91.4,104.7
filler,0,0,,1,2,15,8,,
28,7,24,A,1,2,15,9,94.7,113.8
91,16,21,N,1,2,15,10,58.4,5
155,24,1,Q,1,2,15,11,108.9,111.5
134,0,0,NP,1,2,15,12,95.2,55
97,16,21,N,1,3,15,13,116.9,145.2
111,16,21,N,1,3,15,14,111.7,108.3
filler,0,0,,1,3,15,15,,
85,16,21,N,1,3,15,16,114.5,129.5
118,16,21,N,1,3,15,17,119.3,169
90,16,21,N,1,3,15,18,104.2,118.4
55,6,7,L,1,4,15,19,111.2,102.1
118,16,21,N,1,4,15,20,112.7,121.3
64,6,7,L,1,4,15,21,117.4,152.6
104,16,21,N,1,4,15,22,,
141,17,9,P,1,4,15,23,92.4,85.1
85,16,21,N,1,4,15,24,88.6,46.7
67,6,7,L,1,5,15,25,111.2,91
filler,0,0,,1,5,15,26,,
filler,0,0,,1,5,15,27,,
149,24,1,Q,1,5,15,28,125.9,170.2
39,23,13,K,1,5,15,29,121.2,164.2
61,6,7,L,1,5,15,30,87.2,42
filler,0,0,,1,6,15,31,,
filler,0,0,,1,6,15,32,,
62,6,7,L,1,6,15,33,116.9,138.5
filler,0,0,,1,6,15,34,,
44,23,13,K,1,6,15,35,,
90,16,21,N,1,6,15,36,96.6,115.9
163,8,14,S,1,7,15,37,69.7,28.7
120,16,21,N,1,7,15,38,100.9,98.1
82,16,21,N,1,7,15,39,103.7,84.7
76,6,7,L,1,7,15,40,96.6,64.7
145,24,1,Q,1,7,15,41,108.9,117.4
filler,0,0,,1,7,15,42,,
filler,0,0,,1,8,15,43,,
141,17,9,P,1,8,15,44,79.6,78
110,16,21,N,1,8,15,45,100.9,120.6
65,6,7,L,1,8,15,46,86.2,45.3
filler,0,0,,1,8,15,47,,
150,24,1,Q,1,8,15,48,77.7,33.1
filler,0,0,,1,1,16,1,,
filler,0,0,,1,1,16,2,,
filler,0,0,,1,1,16,3,,
filler,0,0,,1,1,16,4,,
119,16,21,N,1,1,16,5,107,92.8
77,6,7,L,1,1,16,6,102.3,34.6
121,16,21,N,1,2,16,7,54.1,-6.2
115,16,21,N,1,2,16,8,86.2,53.2
filler,0,0,,1,2,16,9,,
76,6,7,L,1,2,16,10,114.1,122.7
148,24,1,Q,1,2,16,11,114.1,104.7
67,6,7,L,1,2,16,12,104.2,85.1
135,0,0,NP,1,3,16,13,98,56.8
142,17,9,P,1,3,16,14,86.7,57.7
117,16,21,N,1,3,16,15,,
154,24,1,Q,1,3,16,16,108.4,83.3
36,0,0,JP,1,3,16,17,106.1,71.5
filler,0,0,,1,3,16,18,,
154,24,1,Q,1,4,16,19,108.9,117.4
63,6,7,L,1,4,16,20,100.4,49.6
filler,0,0,,1,4,16,21,,
filler,0,0,,1,4,16,22,,
55,6,7,L,1,4,16,23,113.1,121.7
53,6,7,L,1,4,16,24,97.6,65.4
101,16,21,N,1,5,16,25,119.3,141.2
filler,0,0,,1,5,16,26,,
filler,0,0,,1,5,16,27,,
154,24,1,Q,1,5,16,28,134.8,197.4
filler,0,0,,1,5,16,29,,
162,17,15,R,1,5,16,30,87.2,62.3
155,24,1,Q,1,6,16,31,112.7,81.4
52,6,7,L,1,6,16,32,104.2,95.7
67,6,7,L,1,6,16,33,99,96.3
49,6,7,L,1,6,16,34,113.6,141.4
filler,0,0,,1,6,16,35,,
filler,0,0,,1,6,16,36,,
filler,0,0,,1,7,16,37,,
59,6,7,L,1,7,16,38,100.4,103.1
104,16,21,N,1,7,16,39,109.8,130.7
42,23,13,K,1,7,16,40,94.3,67.6
filler,0,0,,1,7,16,41,,
filler,0,0,,1,7,16,42,,
126,16,21,N,1,8,16,43,98,75.2
80,16,21,N,1,8,16,44,98,95.4
filler,0,0,,1,8,16,45,,
33,8,9,H,1,8,16,46,59.3,-10.1
152,24,1,Q,1,8,16,47,86.2,17.7
54,6,7,L,1,8,16,48,82.9,81.2
filler,0,0,,1,1,17,1,,
152,24,1,Q,1,1,17,2,74,10.4
100,16,21,N,1,1,17,3,107.5,104.3
113,16,21,N,1,1,17,4,112.7,127.5
55,6,7,L,1,1,17,5,100.9,103.6
filler,0,0,,1,1,17,6,,
99,16,21,N,1,2,17,7,110.3,150.6
125,16,21,N,1,2,17,8,101.3,63.5
filler,0,0,,1,2,17,9,,
filler,0,0,,1,2,17,10,,
filler,0,0,,1,2,17,11,,
163,8,14,S,1,2,17,12,,
filler,0,0,,1,3,17,13,,
filler,0,0,,1,3,17,14,,
104,16,21,N,1,3,17,15,98.5,80.4
filler,0,0,,1,3,17,16,,
147,24,1,Q,1,3,17,17,93.8,67.2
144,17,9,P,1,3,17,18,26.8,-20.5
59,6,7,L,1,4,17,19,109.4,117.9
123,16,21,N,1,4,17,20,128.2,212.5
57,6,7,L,1,4,17,21,105.6,91.6
filler,0,0,,1,4,17,22,,
129,0,0,NP,1,4,17,23,97.1,89.3
114,16,21,N,1,4,17,24,97.1,84.2
79,16,21,N,1,5,17,25,109.4,106.1
filler,0,0,,1,5,17,26,,
131,0,0,NP,1,5,17,27,110.8,113.3
80,16,21,N,1,5,17,28,116.4,165.4
filler,0,0,,1,5,17,29,,
filler,0,0,,1,5,17,30,,
97,16,21,N,1,6,17,31,100.4,120.1
156,24,1,Q,1,6,17,32,106.1,103
50,6,7,L,1,6,17,33,86.2,57.3
135,0,0,NP,1,6,17,34,95.7,73.3
146,24,1,Q,1,6,17,35,103.7,117.9
filler,0,0,,1,6,17,36,,
94,16,21,N,1,7,17,37,106.5,92.4
148,24,1,Q,1,7,17,38,112.2,133.3
60,6,7,L,1,7,17,39,81.5,58
132,0,0,NP,1,7,17,40,98.5,85.5
44,23,13,K,1,7,17,41,,
66,6,7,L,1,7,17,42,94.3,63.1
156,24,1,Q,1,8,17,43,109.8,112.4
115,16,21,N,1,8,17,44,24.9,-19.1
36,0,0,JP,1,8,17,45,93.3,34.1
39,23,13,K,1,8,17,46,90,131
121,16,21,N,1,8,17,47,92.4,111.2
34,20,23,J,1,8,17,48,98.5,118
162,17,15,R,1,1,18,1,75.4,69.7
48,0,0,KP,1,1,18,2,78.2,51.6
filler,0,0,,1,1,18,3,,
filler,0,0,,1,1,18,4,,
74,6,7,L,1,1,18,5,90.5,120.1
filler,0,0,,1,1,18,6,,
153,24,1,Q,1,2,18,7,112.2,114.7
114,16,21,N,1,2,18,8,99.9,102.6
filler,0,0,,1,2,18,9,,
filler,0,0,,1,2,18,10,,
141,17,9,P,1,2,18,11,102.3,128.2
144,17,9,P,1,2,18,12,85.3,88.2
filler,0,0,,1,3,18,13,,
94,16,21,N,1,3,18,14,99.4,86.3
58,6,7,L,1,3,18,15,98,85.1
105,16,21,N,1,3,18,16,112.7,174.5
filler,0,0,,1,3,18,17,,
filler,0,0,,1,3,18,18,,
58,6,7,L,1,4,18,19,110.3,107
36,0,0,JP,1,4,18,20,103.2,69.5
110,16,21,N,1,4,18,21,113.1,147.4
109,16,21,N,1,4,18,22,94.7,72.6
62,6,7,L,1,4,18,23,95.7,46.9
82,16,21,N,1,4,18,24,116,137.5
34,20,23,J,1,5,18,25,109.4,149.5
157,17,15,R,1,5,18,26,116.4,118.9
72,6,7,L,1,5,18,27,92.4,75.4
filler,0,0,,1,5,18,28,,
74,6,7,L,1,5,18,29,89.1,72.7
109,16,21,N,1,5,18,30,70.7,-4.3
filler,0,0,,1,6,18,31,,
115,16,21,N,1,6,18,32,79.1,37.4
102,16,21,N,1,6,18,33,95.7,78.1
63,6,7,L,1,6,18,34,104.6,80.4
74,6,7,L,1,6,18,35,31,-20.8
filler,0,0,,1,6,18,36,,
100,16,21,N,1,7,18,37,105.1,91.2
filler,0,0,,1,7,18,38,,
161,17,15,R,1,7,18,39,100.9,126.6
102,16,21,N,1,7,18,40,104.2,124.3
filler,0,0,,1,7,18,41,,
filler,0,0,,1,7,18,42,,
143,17,9,P,1,8,18,43,77.7,80.8
114,16,21,N,1,8,18,44,77.7,67.5
29,7,24,A,1,8,18,45,,
filler,0,0,,1,8,18,46,,
76,6,7,L,1,8,18,47,92.8,66.5
filler,0,0,,1,8,18,48,,
163,8,14,S,1,1,19,1,54.6,-7.8
128,0,0,NP,1,1,19,2,84.8,118.7
133,0,0,NP,1,1,19,3,84.3,56
86,16,21,N,1,1,19,4,58.4,-8.7
filler,0,0,,1,1,19,5,,
160,17,15,R,1,1,19,6,85.8,74.5
59,6,7,L,1,2,19,7,108.4,129.1
34,20,23,J,1,2,19,8,109.8,143.5
61,6,7,L,1,2,19,9,96.6,51.6
50,6,7,L,1,2,19,10,113.6,122.2
53,6,7,L,1,2,19,11,83.4,25.9
filler,0,0,,1,2,19,12,,
filler,0,0,,1,3,19,13,,
116,16,21,N,1,3,19,14,115.5,124.2
34,20,23,J,1,3,19,15,119.7,215.6
76,6,7,L,1,3,19,16,107,77.1
60,6,7,L,1,3,19,17,104.6,101.7
99,16,21,N,1,3,19,18,118.3,153.7
54,6,7,L,1,4,19,19,84.3,56
86,16,21,N,1,4,19,20,117.4,159.5
filler,0,0,,1,4,19,21,,
52,6,7,L,1,4,19,22,102.7,51
128,0,0,NP,1,4,19,23,105.1,164
filler,0,0,,1,4,19,24,,
59,6,7,L,1,5,19,25,88.1,42.5
filler,0,0,,1,5,19,26,,
filler,0,0,,1,5,19,27,,
97,16,21,N,1,5,19,28,105.6,132.1
89,16,21,N,1,5,19,29,113.6,148
35,20,23,J,1,5,19,30,114.1,198.8
55,6,7,L,1,6,19,31,95.7,114.9
36,0,0,JP,1,6,19,32,96.6,60.2
filler,0,0,,1,6,19,33,,
157,17,15,R,1,6,19,34,103.7,136.1
125,16,21,N,1,6,19,35,108.9,105.7
filler,0,0,,1,6,19,36,,
49,6,7,L,1,7,19,37,106.5,103.4
67,6,7,L,1,7,19,38,117.8,146.3
83,16,21,N,1,7,19,39,98.5,85.5
111,16,21,N,1,7,19,40,95.2,72.9
53,6,7,L,1,7,19,41,107,98.3
36,0,0,JP,1,7,19,42,99.4,53.3
filler,0,0,,1,8,19,43,,
filler,0,0,,1,8,19,44,,
142,17,9,P,1,8,19,45,79.1,73.1
77,6,7,L,1,8,19,46,81,12.9
164,0,0,SP,1,8,19,47,105.6,91.6
filler,0,0,,1,8,19,48,,
145,24,1,Q,1,1,20,1,98,111.8
65,6,7,L,1,1,20,2,91.9,44.7
110,16,21,N,1,1,20,3,97.6,105.7
154,24,1,Q,1,1,20,4,108.9,100
39,23,13,K,1,1,20,5,84.8,92.6
72,6,7,L,1,1,20,6,99.9,119.6
152,24,1,Q,1,2,20,7,83.4,19.6
filler,0,0,,1,2,20,8,,
139,15,6,O,1,2,20,9,128.2,204.3
filler,0,0,,1,2,20,10,,
74,6,7,L,1,2,20,11,107,140
42,23,13,K,1,2,20,12,80.6,31.2
filler,0,0,,1,3,20,13,,
63,6,7,L,1,3,20,14,102.7,69.1
30,7,24,A,1,3,20,15,92.4,41.1
158,17,15,R,1,3,20,16,63.1,22.2
150,24,1,Q,1,3,20,17,83.4,59.4
148,24,1,Q,1,3,20,18,100.4,72.2
filler,0,0,,1,4,20,19,,
140,15,6,O,1,4,20,20,114.1,122.7
filler,0,0,,1,4,20,21,,
49,6,7,L,1,4,20,22,92.8,111.7
48,0,0,KP,1,4,20,23,98.5,118
80,16,21,N,1,4,20,24,117.4,107.7
105,16,21,N,1,5,20,25,114.5,142.5
96,16,21,N,1,5,20,26,103.2,74.3
40,23,13,K,1,5,20,27,108.4,129.1
123,16,21,N,1,5,20,28,116.9,145.2
94,16,21,N,1,5,20,29,87.6,24.6
87,16,21,N,1,5,20,30,85.8,57
101,16,21,N,1,6,20,31,88.6,72.3
162,17,15,R,1,6,20,32,80.1,49
filler,0,0,,1,6,20,33,,
73,6,7,L,1,6,20,34,88.1,111.8
100,16,21,N,1,6,20,35,131.1,184.4
80,16,21,N,1,6,20,36,99.9,102.6
112,16,21,N,1,7,20,37,91.9,75
147,24,1,Q,1,7,20,38,119.3,176.3
filler,0,0,,1,7,20,39,,
131,0,0,NP,1,7,20,40,118.3,160.7
151,24,1,Q,1,7,20,41,114.5,135.9
124,16,21,N,1,7,20,42,105.1,91.2
112,16,21,N,1,8,20,43,84.8,78.2
129,0,0,NP,1,8,20,44,75.8,11.1
filler,0,0,,1,8,20,45,,
filler,0,0,,1,8,20,46,,
70,6,7,L,1,8,20,47,94.3,113.3
82,16,21,N,1,8,20,48,104.2,95.7
142,17,9,P,1,1,21,1,78.2,51.6
59,6,7,L,1,1,21,2,105.1,113.5
filler,0,0,,1,1,21,3,,
125,16,21,N,1,1,21,4,86.2,45.3
139,15,6,O,1,1,21,5,118.3,160.7
122,16,21,N,1,1,21,6,87.2,53.8
filler,0,0,,1,2,21,7,,
63,6,7,L,1,2,21,8,104.6,85.5
49,6,7,L,1,2,21,9,108.4,141.7
filler,0,0,,1,2,21,10,,
161,17,15,R,1,2,21,11,95.7,98.4
132,0,0,NP,1,2,21,12,90,68.9
66,6,7,L,1,3,21,13,104.6,85.5
35,20,23,J,1,3,21,14,105.1,137.8
filler,0,0,,1,3,21,15,,
filler,0,0,,1,3,21,16,,
38,23,13,K,1,3,21,17,101.3,139.4
43,23,13,K,1,3,21,18,107,133.7
65,6,7,L,1,4,21,19,108.9,100
56,6,7,L,1,4,21,20,110.3,84.8
142,17,9,P,1,4,21,21,101.3,93.2
30,7,24,A,1,4,21,22,123,204.7
33,8,9,H,1,4,21,23,68.8,-6.6
156,24,1,Q,1,4,21,24,122.1,165.4
filler,0,0,,1,5,21,25,,
62,6,7,L,1,5,21,26,104.2,90.4
152,24,1,Q,1,5,21,27,87.6,38.5
filler,0,0,,1,5,21,28,,
139,15,6,O,1,5,21,29,139.6,212.2
64,6,7,L,1,5,21,30,99.4,107.7
95,16,21,N,1,6,21,31,16.4,-22.1
54,6,7,L,1,6,21,32,103.7,112
138,15,6,O,1,6,21,33,127.8,180.1
70,6,7,L,1,6,21,34,99,85.9
96,16,21,N,1,6,21,35,101.8,93.6
111,16,21,N,1,6,21,36,102.3,99.4
138,15,6,O,1,7,21,37,94.7,63.4
78,6,7,L,1,7,21,38,107.5,87.8
filler,0,0,,1,7,21,39,,
91,16,21,N,1,7,21,40,110.8,144.6
122,16,21,N,1,7,21,41,102.7,84
filler,0,0,,1,7,21,42,,
filler,0,0,,1,8,21,43,,
filler,0,0,,1,8,21,44,,
87,16,21,N,1,8,21,45,94.3,102.3
84,16,21,N,1,8,21,46,106.1,120.4
51,6,7,L,1,8,21,47,94.3,97
filler,0,0,,1,8,21,48,,
156,24,1,Q,1,1,22,1,108.4,135.3
102,16,21,N,1,1,22,2,94.7,67.9
37,0,0,JP,1,1,22,3,105.6,76.1
101,16,21,N,1,1,22,4,80.1,34.4
88,16,21,N,1,1,22,5,97.6,89.8
116,16,21,N,1,1,22,6,95.7,68.6
105,16,21,N,1,2,22,7,102.7,111.1
47,23,13,K,1,2,22,8,117.4,166.6
filler,0,0,,1,2,22,9,,
70,6,7,L,1,2,22,10,101.3,115.3
68,6,7,L,1,2,22,11,84.3,51.9
133,0,0,NP,1,2,22,12,68.3,41
42,23,13,K,1,3,22,13,90,114
80,16,21,N,1,3,22,14,100.4,87.1
64,6,7,L,1,3,22,15,101.8,88.3
filler,0,0,,1,3,22,16,,
filler,0,0,,1,3,22,17,,
103,16,21,N,1,3,22,18,98,100.8
filler,0,0,,1,4,22,19,,
76,6,7,L,1,4,22,20,110.8,151.2
73,6,7,L,1,4,22,21,105.6,114
163,8,14,S,1,4,22,22,,
filler,0,0,,1,4,22,23,,
filler,0,0,,1,4,22,24,,
filler,0,0,,1,5,22,25,,
filler,0,0,,1,5,22,26,,
142,17,9,P,1,5,22,27,86.2,57.3
63,6,7,L,1,5,22,28,125.9,170.2
37,0,0,JP,1,5,22,29,121.6,143.8
filler,0,0,,1,5,22,30,,
filler,0,0,,1,6,22,31,,
82,16,21,N,1,6,22,32,90.5,114.5
filler,0,0,,1,6,22,33,,
filler,0,0,,1,6,22,34,,
86,16,21,N,1,6,22,35,96.6,94.1
104,16,21,N,1,6,22,36,116.4,138
141,17,9,P,1,7,22,37,87.2,95.1
97,16,21,N,1,7,22,38,92.4,70.7
64,6,7,L,1,7,22,39,108.9,89
74,6,7,L,1,7,22,40,84.3,44.1
filler,0,0,,1,7,22,41,,
40,23,13,K,1,7,22,42,112.2,139.7
filler,0,0,,1,8,22,43,,
106,16,21,N,1,8,22,44,97.1,99.8
135,0,0,NP,1,8,22,45,9.3,-24.1
148,24,1,Q,1,8,22,46,97.6,84.7
filler,0,0,,1,8,22,47,,
filler,0,0,,1,8,22,48,,
111,16,21,N,1,1,23,1,84.8,64.8
104,16,21,N,1,1,23,2,109.4,117.9
129,0,0,NP,1,1,23,3,85.3,83.4
filler,0,0,,1,1,23,4,,
94,16,21,N,1,1,23,5,108.4,83.3
96,16,21,N,1,1,23,6,88.6,81.6
79,16,21,N,1,2,23,7,89.5,47.3
113,16,21,N,1,2,23,8,94.7,67.9
filler,0,0,,1,2,23,9,,
75,6,7,L,1,2,23,10,105.6,81.1
43,23,13,K,1,2,23,11,126.8,194.3
filler,0,0,,1,2,23,12,,
70,6,7,L,1,3,23,13,97.6,117
127,0,0,NP,1,3,23,14,101.3,77.8
128,0,0,NP,1,3,23,15,106.5,139.5
filler,0,0,,1,3,23,16,,
126,16,21,N,1,3,23,17,116.9,132
65,6,7,L,1,3,23,18,106.1,138.9
filler,0,0,,1,4,23,19,,
93,16,21,N,1,4,23,20,102.7,99.9
147,24,1,Q,1,4,23,21,117.8,126.6
99,16,21,N,1,4,23,22,112.2,159.8
38,23,13,K,1,4,23,23,102.3,160
filler,0,0,,1,4,23,24,,
148,24,1,Q,1,5,23,25,108.4,99.6
144,17,9,P,1,5,23,26,78.7,60
55,6,7,L,1,5,23,27,112.2,139.7
77,6,7,L,1,5,23,28,110.8,90.6
112,16,21,N,1,5,23,29,108.9,117.4
130,0,0,NP,1,5,23,30,108.4,204.9
filler,0,0,,1,6,23,31,,
34,20,23,J,1,6,23,32,117.8,196.9
filler,0,0,,1,6,23,33,,
65,6,7,L,1,6,23,34,106.1,97.4
127,0,0,NP,1,6,23,35,107.9,116.4
140,15,6,O,1,6,23,36,115.5,157.1
69,6,7,L,1,7,23,37,57.9,-1.5
37,0,0,JP,1,7,23,38,110.3,-13.9
30,7,24,A,1,7,23,39,72.5,18.1
filler,0,0,,1,7,23,40,,
75,6,7,L,1,7,23,41,104.6,118.9
filler,0,0,,1,7,23,42,,
81,16,21,N,1,8,23,43,100.9,120.6
filler,0,0,,1,8,23,44,,
119,16,21,N,1,8,23,45,103.2,100.3
133,0,0,NP,1,8,23,46,97.6,100.3
filler,0,0,,1,8,23,47,,
85,16,21,N,1,8,23,48,103.7,106.3
filler,0,0,,1,1,24,1,,
82,16,21,N,1,1,24,2,99.9,71.8
99,16,21,N,1,1,24,3,84.3,40.4
filler,0,0,,1,1,24,4,,
50,6,7,L,1,1,24,5,102.7,94.4
30,7,24,A,1,1,24,6,99.9,81.6
filler,0,0,,1,2,24,7,,
82,16,21,N,1,2,24,8,104.2,106.8
filler,0,0,,1,2,24,9,,
102,16,21,N,1,2,24,10,103.7,112
146,24,1,Q,1,2,24,11,113.6,148
filler,0,0,,1,2,24,12,,
filler,0,0,,1,3,24,13,,
93,16,21,N,1,3,24,14,104.6,124.9
filler,0,0,,1,3,24,15,,
153,24,1,Q,1,3,24,16,114.1,141.9
138,15,6,O,1,3,24,17,121.2,157.1
163,8,14,S,1,3,24,18,108.9,111.5
136,15,6,O,1,4,24,19,111.2,107.9
filler,0,0,,1,4,24,20,,
155,24,1,Q,1,4,24,21,121.2,136.6
35,20,23,J,1,4,24,22,97.6,79.7
148,24,1,Q,1,4,24,23,119.3,128.1
108,16,21,N,1,4,24,24,98.5,118
filler,0,0,,1,5,24,25,,
145,24,1,Q,1,5,24,26,110.8,125.4
75,6,7,L,1,5,24,27,107.5,98.7
filler,0,0,,1,5,24,28,,
147,24,1,Q,1,5,24,29,122.6,166
86,16,21,N,1,5,24,30,,
143,17,9,P,1,6,24,31,91.4,89.2
53,6,7,L,1,6,24,32,108.4,88.6
46,23,13,K,1,6,24,33,100.4,150.8
134,0,0,NP,1,6,24,34,86.7,49.5
61,6,7,L,1,6,24,35,90,60
filler,0,0,,1,6,24,36,,
70,6,7,L,1,7,24,37,98,117.5
43,23,13,K,1,7,24,38,101.3,121.2
142,17,9,P,1,7,24,39,87.6,111.2
118,16,21,N,1,7,24,40,103.2,84.3
129,0,0,NP,1,7,24,41,89.5,68.5
57,6,7,L,1,7,24,42,,
filler,0,0,,1,8,24,43,,
49,6,7,L,1,8,24,44,90.9,32.9
86,16,21,N,1,8,24,45,92.8,80.6
116,16,21,N,1,8,24,46,111.7,152.4
125,16,21,N,1,8,24,47,62.6,8.8
35,20,23,J,1,8,24,48,102.3,153.4
filler,0,0,,1,1,25,1,,
56,6,7,L,1,1,25,2,108.9,117.4
filler,0,0,,1,1,25,3,,
filler,0,0,,1,1,25,4,,
69,6,7,L,1,1,25,5,87.6,50.1
filler,0,0,,1,1,25,6,,
filler,0,0,,1,2,25,7,,
55,6,7,L,1,2,25,8,111.2,107.9
97,16,21,N,1,2,25,9,109.8,124.4
140,15,6,O,1,2,25,10,119.3,115.5
142,17,9,P,1,2,25,11,91.4,84.2
154,24,1,Q,1,2,25,12,93.8,34.3
79,16,21,N,1,3,25,13,106.1,108.7
122,16,21,N,1,3,25,14,99.4,76.3
115,16,21,N,1,3,25,15,38.1,-13.9
68,6,7,L,1,3,25,16,84.3,56
filler,0,0,,1,3,25,17,,
149,24,1,Q,1,3,25,18,109.4,149.5
101,16,21,N,1,4,25,19,105.1,91.2
111,16,21,N,1,4,25,20,103.7,74.6
filler,0,0,,1,4,25,21,,
filler,0,0,,1,4,25,22,,
116,16,21,N,1,4,25,23,110.8,144.6
135,0,0,NP,1,4,25,24,110.8,107.4
136,15,6,O,1,5,25,25,111.7,145.7
56,6,7,L,1,5,25,26,103.2,60.1
127,0,0,NP,1,5,25,27,102.3,94
filler,0,0,,1,5,25,28,,
121,16,21,N,1,5,25,29,99.9,76.7
114,16,21,N,1,5,25,30,118.3,160.7
filler,0,0,,1,6,25,31,,
filler,0,0,,1,6,25,32,,
35,20,23,J,1,6,25,33,107.9,167.9
filler,0,0,,1,6,25,34,,
66,6,7,L,1,6,25,35,106.5,127
48,0,0,KP,1,6,25,36,68.3,44.5
filler,0,0,,1,7,25,37,,
114,16,21,N,1,7,25,38,92.4,57.4
filler,0,0,,1,7,25,39,,
101,16,21,N,1,7,25,40,102.7,122.8
filler,0,0,,1,7,25,41,,
filler,0,0,,1,7,25,42,,
filler,0,0,,1,8,25,43,,
131,0,0,NP,1,8,25,44,73.5,41
filler,0,0,,1,8,25,45,,
147,24,1,Q,1,8,25,46,105.1,107.7
160,17,15,R,1,8,25,47,76.3,93.3
filler,0,0,,1,8,25,48,,
48,0,0,KP,2,1,1,1,90.4,73
55,6,7,L,2,1,1,2,105.2,122.6
150,24,1,Q,2,1,1,3,107.6,109.8
139,15,6,O,2,1,1,4,119.5,205.3
129,0,0,NP,2,1,1,5,88,57.4
60,6,7,L,2,1,1,6,110.5,123.2
filler,0,0,,2,2,1,7,,
145,24,1,Q,2,2,1,8,100.7,72.8
filler,0,0,,2,2,1,9,,
153,24,1,Q,2,2,1,10,110.1,139.4
filler,0,0,,2,2,1,11,,
filler,0,0,,2,2,1,12,,
filler,0,0,,2,3,1,13,,
33,8,9,H,2,3,1,14,71.2,21.7
27,7,24,A,2,3,1,15,109.3,132.8
42,23,13,K,2,3,1,16,94.1,114.7
35,20,23,J,2,3,1,17,108.9,149.5
filler,0,0,,2,3,1,18,,
159,17,15,R,2,4,1,19,94.1,129.6
44,23,13,K,2,4,1,20,,
filler,0,0,,2,4,1,21,,
filler,0,0,,2,4,1,22,,
48,0,0,KP,2,4,1,23,109.3,138.4
66,6,7,L,2,4,1,24,99,47.5
135,0,0,NP,2,5,1,25,98.2,91.5
filler,0,0,,2,5,1,26,,
82,16,21,N,2,5,1,27,103.5,105.7
83,16,21,N,2,5,1,28,106.4,108.6
147,24,1,Q,2,5,1,29,96.6,108
114,16,21,N,2,5,1,30,98.6,100.9
filler,0,0,,2,6,1,31,,
115,16,21,N,2,6,1,32,65.8,25.3
73,6,7,L,2,6,1,33,107.6,86.2
filler,0,0,,2,6,1,34,,
133,0,0,NP,2,6,1,35,119.1,115.7
110,16,21,N,2,6,1,36,110.5,134.2
filler,0,0,,2,7,1,37,,
61,6,7,L,2,7,1,38,107.6,100
filler,0,0,,2,7,1,39,,
144,17,9,P,2,7,1,40,99,71.7
93,16,21,N,2,7,1,41,97.8,104.6
143,17,9,P,2,7,1,42,97.4,66.8
filler,0,0,,2,8,1,43,,
filler,0,0,,2,8,1,44,,
101,16,21,N,2,8,1,45,96.6,77.7
111,16,21,N,2,8,1,46,117.5,136.6
35,20,23,J,2,8,1,47,119.5,177.2
filler,0,0,,2,8,1,48,,
72,6,7,L,2,1,2,1,105.6,117.8
76,6,7,L,2,1,2,2,113,115.1
30,7,24,A,2,1,2,3,103.5,105.7
131,0,0,NP,2,1,2,4,88.4,75
